"Family","PDF_Name","Table_ID","Rows","Cols","Caption"
"C0","stm32c051c6","table_25","2","5","Table 25. Operating conditions at power-up / power-down"
"C0","stm32c051c6","table_26","2","7","Table 26. Embedded reset and power control block characteristics"
"C0","stm32c051c6","table_3","6","8","Table 3. Access status versus readout protection level and execution modes"
"C0","stm32c051c6","table_34","4","13","Table 34. Current consumption in Shutdown mode"
"C0","stm32c051c6","table_37","4","7","Table 37. High-speed external user clock characteristics"
"C0","stm32c051c6","table_40","5","7","Table 40. LSE oscillator characteristics (f = 32.768 kHz) 58 LSE"
"C0","stm32c051c6","table_42","5","7","Table 42. LSI oscillator characteristics"
"C0","stm32c051c6","table_43","3","7","Table 43. Flash memory characteristics"
"C0","stm32c051c6","table_46","5","6","Table 46. EMI characteristics"
"C0","stm32c051c6","table_47","2","6","Table 47. ESD absolute maximum ratings"
"C0","stm32c051c6","table_49","1","6","Table 49. I/O current injection susceptibility"
"C0","stm32c051c6","table_53","6","7","Table 53. NRST pin characteristics"
"C0","stm32c051c6","table_54","1","7","Table 54. EXTI input characteristics"
"C0","stm32c051c6","table_62","1","5","Table 62. I2C analog filter characteristics"
"C0","stm32c051c6","table_7","5","9","Table 7. Timer feature comparison"
"C0","stm32c051c6","table_73","3","7","Table 73. Exposed pad variation"
"C0","stm32c071r8","table_21","4","5","Table 21. Voltage characteristics"
"C0","stm32c071r8","table_25","2","5","Table 25. Operating conditions at power-up / power-down"
"C0","stm32c071r8","table_3","6","8","Table 3. Access status versus readout protection level and execution modes"
"C0","stm32c071r8","table_34","4","13","Table 34. Current consumption in Shutdown mode"
"C0","stm32c071r8","table_37","4","7","Table 37. High-speed external user clock characteristics"
"C0","stm32c071r8","table_40","5","7","Table 40. LSE oscillator characteristics (f = 32.768 kHz) 71 LSE"
"C0","stm32c071r8","table_47","5","6","Table 47. EMI characteristics"
"C0","stm32c071r8","table_48","2","6","Table 48. ESD absolute maximum ratings"
"C0","stm32c071r8","table_50","1","6","Table 50. I/O current injection susceptibility"
"C0","stm32c071r8","table_54","6","7","Table 54. NRST pin characteristics"
"C0","stm32c071r8","table_55","1","7","Table 55. EXTI input characteristics"
"C0","stm32c071r8","table_63","1","5","Table 63. I2C analog filter characteristics"
"C0","stm32c071r8","table_7","5","9","Table 7. Timer feature comparison"
"C0","stm32c071r8","table_75","3","7","Table 75. Exposed pad variation"
"C0","stm32c091kb","table_12","5","13","Table 12. Pin assignment and description"
"C0","stm32c091kb","table_21","3","5","Table 21. Voltage characteristics"
"C0","stm32c091kb","table_25","2","5","Table 25. Operating conditions at power-up / power-down"
"C0","stm32c091kb","table_26","2","7","Table 26. Embedded reset and power control block characteristics"
"C0","stm32c091kb","table_3","6","8","Table 3. Access status versus readout protection level and execution modes"
"C0","stm32c091kb","table_34","4","13","Table 34. Current consumption in Shutdown mode"
"C0","stm32c091kb","table_37","4","7","Table 37. High-speed external user clock characteristics"
"C0","stm32c091kb","table_40","5","7","Table 40. LSE oscillator characteristics (f = 32.768 kHz) 65 LSE"
"C0","stm32c091kb","table_42","5","7","Table 42. LSI oscillator characteristics"
"C0","stm32c091kb","table_43","3","7","Table 43. Flash memory characteristics"
"C0","stm32c091kb","table_46","5","6","Table 46. EMI characteristics"
"C0","stm32c091kb","table_47","2","6","Table 47. ESD absolute maximum ratings"
"C0","stm32c091kb","table_49","1","6","Table 49. I/O current injection susceptibility"
"C0","stm32c091kb","table_53","6","7","Table 53. NRST pin characteristics"
"C0","stm32c091kb","table_54","1","7","Table 54. EXTI input characteristics"
"C0","stm32c091kb","table_62","1","5","Table 62. I2C analog filter characteristics"
"C0","stm32c091kb","table_7","6","9","Table 7. Timer feature comparison"
"C5","stm32c532cb","table_13","6","5","Table 13. Voltage characteristics"
"C5","stm32c532cb","table_17","2","5","Table 17. Operating conditions at power-up/power-down."
"C5","stm32c532cb","table_24","4","11","Table 24. Typical and maximum current consumption in Sleep mode"
"C5","stm32c532cb","table_26","2","11","Table 26. Typical and maximum HSIKERON current consumption in Stop mode"
"C5","stm32c532cb","table_27","4","12","Table 27. Typical and maximum current consumption in Standby mode"
"C5","stm32c532cb","table_30","2","6","Table 30. Wake-up time using USART/LPUART."
"C5","stm32c532cb","table_37","6","7","Table 37. LSI oscillator characteristics"
"C5","stm32c532cb","table_38","3","7","Table 38. Flash memory characteristics"
"C5","stm32c532cb","table_40","4","5","Table 40. Flash memory user and EDATA endurance and data retention."
"C5","stm32c532cb","table_42","5","6","Table 42. EMI characteristics for f = 8 MHz and f = 144 MHz."
"C5","stm32c532cb","table_44","3","5","Table 44. Electrical sensitivities."
"C5","stm32c532cb","table_45","3","5","Table 45. I/O current injection susceptibility."
"C5","stm32c532cb","table_48","4","6","Table 48. Output voltage characteristics for PC14 and PC15."
"C5","stm32c532cb","table_5","5","8","Table 5. Timer feature comparison."
"C5","stm32c532cb","table_51","1","7","Table 51. EXTI input characteristics."
"C5","stm32c532cb","table_63","2","5","Table 63. Open drain timing measurements."
"C5","stm32c532cb","table_64","1","5","Table 64. I²C analog filter characteristics."
"C5","stm32c532cb","table_68","4","7","Table 68. USB_FS characteristics"
"C5","stm32c532cb","table_70","5","6","Table 70. SWD characteristics."
"C5","stm32c542cc","table_14","6","5","Table 14. Voltage characteristics"
"C5","stm32c542cc","table_18","2","5","Table 18. Operating conditions at power-up/power-down."
"C5","stm32c542cc","table_25","4","11","Table 25. Typical and maximum current consumption in Sleep mode"
"C5","stm32c542cc","table_27","2","11","Table 27. Typical and maximum HSIKERON current consumption in Stop mode"
"C5","stm32c542cc","table_28","4","12","Table 28. Typical and maximum current consumption in Standby mode"
"C5","stm32c542cc","table_31","2","6","Table 31. Wake-up time using USART/LPUART."
"C5","stm32c542cc","table_38","6","7","Table 38. LSI oscillator characteristics"
"C5","stm32c542cc","table_39","3","7","Table 39. Flash memory characteristics"
"C5","stm32c542cc","table_41","4","5","Table 41. Flash memory user and EDATA endurance and data retention."
"C5","stm32c542cc","table_43","5","6","Table 43. EMI characteristics for f = 8 MHz and f = 144 MHz."
"C5","stm32c542cc","table_45","3","5","Table 45. Electrical sensitivities."
"C5","stm32c542cc","table_46","3","5","Table 46. I/O current injection susceptibility."
"C5","stm32c542cc","table_49","4","6","Table 49. Output voltage characteristics for PC14 and PC15."
"C5","stm32c542cc","table_52","1","7","Table 52. EXTI input characteristics."
"C5","stm32c542cc","table_6","5","8","Table 6. Timer feature comparison."
"C5","stm32c542cc","table_64","2","5","Table 64. Open drain timing measurements."
"C5","stm32c542cc","table_65","1","5","Table 65. I²C analog filter characteristics."
"C5","stm32c542cc","table_69","4","7","Table 69. USB_FS characteristics"
"C5","stm32c542cc","table_71","5","6","Table 71. SWD characteristics."
"C5","stm32c551cc","table_14","6","5","Table 14. Voltage characteristics"
"C5","stm32c551cc","table_18","2","5","Table 18. Operating conditions at power-up/power-down."
"C5","stm32c551cc","table_25","4","11","Table 25. Typical and maximum current consumption in Sleep mode"
"C5","stm32c551cc","table_27","2","11","Table 27. Typical and maximum HSIKERON current consumption in Stop mode"
"C5","stm32c551cc","table_28","4","12","Table 28. Typical and maximum current consumption in Standby mode"
"C5","stm32c551cc","table_31","2","6","Table 31. Wake-up time using USART/LPUART."
"C5","stm32c551cc","table_38","6","7","Table 38. LSI oscillator characteristics"
"C5","stm32c551cc","table_39","3","7","Table 39. Flash memory characteristics"
"C5","stm32c551cc","table_41","4","5","Table 41. Flash memory user and EDATA endurance and data retention."
"C5","stm32c551cc","table_43","5","6","Table 43. EMI characteristics for f = 16 MHz and f = 144 MHz."
"C5","stm32c551cc","table_46","3","5","Table 46. I/O current injection susceptibility."
"C5","stm32c551cc","table_49","4","6","Table 49. Output voltage characteristics for PC14 and PC15."
"C5","stm32c551cc","table_52","1","7","Table 52. EXTI input characteristics."
"C5","stm32c551cc","table_6","6","8","Table 6. Timer feature comparison."
"C5","stm32c551cc","table_63","2","5","Table 63. Open drain timing measurements."
"C5","stm32c551cc","table_64","1","5","Table 64. I²C analog filter characteristics."
"C5","stm32c551cc","table_68","4","7","Table 68. USB_FS characteristics"
"C5","stm32c551cc","table_70","5","6","Table 70. SWD characteristics."
"C5","stm32c562ce","table_15","6","5","Table 15. Voltage characteristics"
"C5","stm32c562ce","table_19","2","5","Table 19. Operating conditions at power-up/power-down."
"C5","stm32c562ce","table_26","4","11","Table 26. Typical and maximum current consumption in Sleep mode"
"C5","stm32c562ce","table_28","2","11","Table 28. Typical and maximum HSIKERON current consumption in Stop mode"
"C5","stm32c562ce","table_29","4","12","Table 29. Typical and maximum current consumption in Standby mode"
"C5","stm32c562ce","table_32","2","6","Table 32. Wake-up time using USART/LPUART."
"C5","stm32c562ce","table_39","6","7","Table 39. LSI oscillator characteristics"
"C5","stm32c562ce","table_40","3","7","Table 40. Flash memory characteristics"
"C5","stm32c562ce","table_42","4","5","Table 42. Flash memory user and EDATA endurance and data retention."
"C5","stm32c562ce","table_44","5","6","Table 44. EMI characteristics for f = 16 MHz and f = 144 MHz."
"C5","stm32c562ce","table_47","3","5","Table 47. I/O current injection susceptibility."
"C5","stm32c562ce","table_50","4","6","Table 50. Output voltage characteristics for PC14 and PC15."
"C5","stm32c562ce","table_53","1","7","Table 53. EXTI input characteristics."
"C5","stm32c562ce","table_64","2","5","Table 64. Open drain timing measurements."
"C5","stm32c562ce","table_65","1","5","Table 65. I²C analog filter characteristics."
"C5","stm32c562ce","table_69","4","7","Table 69. USB_FS characteristics"
"C5","stm32c562ce","table_7","6","8","Table 7. Timer feature comparison."
"C5","stm32c562ce","table_71","5","6","Table 71. SWD characteristics."
"C5","stm32c591ce","table_13","6","5","Table 13. Voltage characteristics"
"C5","stm32c591ce","table_17","2","5","Table 17. Operating conditions at power-up/power-down."
"C5","stm32c591ce","table_24","4","8","Table 24. Typical and maximum current consumption in Sleep mode"
"C5","stm32c591ce","table_26","2","8","Table 26. Typical and maximum HSIKERON current consumption in Stop mode"
"C5","stm32c591ce","table_27","4","9","Table 27. Typical and maximum current consumption in Standby mode"
"C5","stm32c591ce","table_30","2","6","Table 30. Wake-up time using USART/LPUART."
"C5","stm32c591ce","table_37","6","7","Table 37. LSI oscillator characteristics"
"C5","stm32c591ce","table_38","3","7","Table 38. Flash memory characteristics"
"C5","stm32c591ce","table_40","4","5","Table 40. Flash memory user and EDATA endurance and data retention."
"C5","stm32c591ce","table_42","5","6","Table 42. EMI characteristics for f = 16 MHz and f = 144 MHz."
"C5","stm32c591ce","table_44","2","5","Table 44. Electrical sensitivities."
"C5","stm32c591ce","table_45","2","5","Table 45. I/O current injection susceptibility."
"C5","stm32c591ce","table_48","4","6","Table 48. Output voltage characteristics for PC14 and PC15."
"C5","stm32c591ce","table_5","6","8","Table 5. Timer feature comparison."
"C5","stm32c591ce","table_51","1","7","Table 51. EXTI input characteristics."
"C5","stm32c591ce","table_55","2","7","Table 55. DLYB characteristics"
"C5","stm32c591ce","table_65","1","5","Table 65. Open drain timing measurements."
"C5","stm32c591ce","table_66","1","5","Table 66. I²C analog filter characteristics."
"C5","stm32c591ce","table_69","4","7","Table 69. USB_FS characteristics"
"C5","stm32c591ce","table_74","5","6","Table 74. SWD characteristics."
"C5","stm32c5a3cg","table_15","6","5","Table 15. Voltage characteristics"
"C5","stm32c5a3cg","table_19","2","5","Table 19. Operating conditions at power-up/power-down."
"C5","stm32c5a3cg","table_26","4","8","Table 26. Typical and maximum current consumption in Sleep mode"
"C5","stm32c5a3cg","table_28","2","8","Table 28. Typical and maximum HSIKERON current consumption in Stop mode"
"C5","stm32c5a3cg","table_29","4","9","Table 29. Typical and maximum current consumption in Standby mode"
"C5","stm32c5a3cg","table_32","2","6","Table 32. Wake-up time using USART/LPUART."
"C5","stm32c5a3cg","table_39","6","7","Table 39. LSI oscillator characteristics"
"C5","stm32c5a3cg","table_40","3","7","Table 40. Flash memory characteristics"
"C5","stm32c5a3cg","table_42","4","5","Table 42. Flash memory user and EDATA endurance and data retention."
"C5","stm32c5a3cg","table_44","5","6","Table 44. EMI characteristics for f = 16 MHz and f = 144 MHz."
"C5","stm32c5a3cg","table_46","2","5","Table 46. Electrical sensitivities."
"C5","stm32c5a3cg","table_47","2","5","Table 47. I/O current injection susceptibility."
"C5","stm32c5a3cg","table_50","4","6","Table 50. Output voltage characteristics for PC14 and PC15."
"C5","stm32c5a3cg","table_53","1","7","Table 53. EXTI input characteristics."
"C5","stm32c5a3cg","table_57","2","7","Table 57. DLYB characteristics"
"C5","stm32c5a3cg","table_67","1","5","Table 67. Open drain timing measurements."
"C5","stm32c5a3cg","table_68","1","5","Table 68. I²C analog filter characteristics."
"C5","stm32c5a3cg","table_7","6","8","Table 7. Timer feature comparison."
"C5","stm32c5a3cg","table_71","4","7","Table 71. USB_FS characteristics"
"C5","stm32c5a3cg","table_76","5","6","Table 76. SWD characteristics."
"F0","stm32f030c6","table_21","3","6","Table 21. General operating conditions"
"F0","stm32f030c6","table_22","4","6","Table 22. Operating conditions at power-up / power-down"
"F0","stm32f030c6","table_24","5","7","Table 24. Embedded internal reference voltage"
"F0","stm32f030c6","table_28","4","7","Table 28. Typical current consumption in Run mode, code with data processing run"
"F0","stm32f030c6","table_30","3","6","Table 30. Low-power mode wakeup timings"
"F0","stm32f030c6","table_31","5","6","Table 31. High-speed external user clock characteristics"
"F0","stm32f030c6","table_32","5","6","Table 32. Low-speed external user clock characteristics"
"F0","stm32f030c6","table_33","2","7","Table 33. HSE oscillator characteristics"
"F0","stm32f030c6","table_34","4","7","Table 34. LSE oscillator characteristics (f = 32.768 kHz) 55 LSE"
"F0","stm32f030c6","table_36","6","7","Table 36. HSI14 oscillator characteristics"
"F0","stm32f030c6","table_37","3","6","Table 37. LSI oscillator characteristics"
"F0","stm32f030c6","table_38","5","6","Table 38. PLL characteristics"
"F0","stm32f030c6","table_39","6","7","Table 39. Flash memory characteristics"
"F0","stm32f030c6","table_40","2","5","Table 40. Flash memory endurance and data retention"
"F0","stm32f030c6","table_42","4","6","Table 42. EMI characteristics"
"F0","stm32f030c6","table_43","2","7","Table 43. ESD absolute maximum ratings"
"F0","stm32f030c6","table_5","6","8","Table 5. Timer feature comparison"
"F0","stm32f030c6","table_52","5","6","Table 52. ADC accuracy"
"F0","stm32f030c6","table_53","5","6","Table 53. TS characteristics"
"F0","stm32f030c6","table_56","4","5","Table 56. WWDG min/max timeout value at 48 MHz (PCLK)"
"F0","stm32f030c6","table_57","1","5","Table 57. I2C analog filter characteristics"
"F0","stm32f031c4","table_19","4","6","Table 19. Operating conditions at power-up / power-down"
"F0","stm32f031c4","table_20","4","7","Table 20. Embedded reset and power control block characteristics"
"F0","stm32f031c4","table_22","5","7","Table 22. Embedded internal reference voltage"
"F0","stm32f031c4","table_26","2","13","Table 26. Typical and maximum current consumption from the V supply 47 BAT"
"F0","stm32f031c4","table_30","4","10","Table 30. Low-power mode wakeup timings"
"F0","stm32f031c4","table_31","5","6","Table 31. High-speed external user clock characteristics"
"F0","stm32f031c4","table_32","5","6","Table 32. Low-speed external user clock characteristics"
"F0","stm32f031c4","table_34","4","7","Table 34. LSE oscillator characteristics (f = 32.768 kHz) 56 LSE"
"F0","stm32f031c4","table_37","3","6","Table 37. LSI oscillator characteristics"
"F0","stm32f031c4","table_38","5","6","Table 38. PLL characteristics"
"F0","stm32f031c4","table_39","5","7","Table 39. Flash memory characteristics"
"F0","stm32f031c4","table_40","4","5","Table 40. Flash memory endurance and data retention"
"F0","stm32f031c4","table_42","4","6","Table 42. EMI characteristics"
"F0","stm32f031c4","table_43","2","7","Table 43. ESD absolute maximum ratings"
"F0","stm32f031c4","table_45","3","5","Table 45. I/O current injection susceptibility"
"F0","stm32f031c4","table_5","5","8","Table 5. Timer feature comparison"
"F0","stm32f031c4","table_53","5","6","Table 53. TS characteristics"
"F0","stm32f031c4","table_54","4","6","Table 54. V monitoring characteristics 74 BAT"
"F0","stm32f031c4","table_57","4","5","Table 57. WWDG min/max timeout value at 48 MHz (PCLK)"
"F0","stm32f031c4","table_58","1","5","Table 58. I2C analog filter characteristics"
"F0","stm32f038c6","table_11","4","11","Table 11. Pin definitions"
"F0","stm32f038c6","table_19","4","6","Table 19. Operating conditions at power-up / power-down"
"F0","stm32f038c6","table_20","6","7","Table 20. Embedded internal reference voltage"
"F0","stm32f038c6","table_23","2","14","Table 23. Typical and maximum consumption in Stop mode"
"F0","stm32f038c6","table_24","2","13","Table 24. Typical and maximum current consumption from the V supply 46 BAT"
"F0","stm32f038c6","table_28","2","6","Table 28. Low-power mode wakeup timings"
"F0","stm32f038c6","table_29","5","6","Table 29. High-speed external user clock characteristics"
"F0","stm32f038c6","table_30","5","6","Table 30. Low-speed external user clock characteristics"
"F0","stm32f038c6","table_32","4","7","Table 32. LSE oscillator characteristics (f = 32.768 kHz) 55 LSE"
"F0","stm32f038c6","table_35","3","6","Table 35. LSI oscillator characteristics"
"F0","stm32f038c6","table_36","5","6","Table 36. PLL characteristics"
"F0","stm32f038c6","table_37","5","7","Table 37. Flash memory characteristics"
"F0","stm32f038c6","table_38","4","5","Table 38. Flash memory endurance and data retention"
"F0","stm32f038c6","table_40","4","6","Table 40. EMI characteristics"
"F0","stm32f038c6","table_41","2","7","Table 41. ESD absolute maximum ratings"
"F0","stm32f038c6","table_43","3","5","Table 43. I/O current injection susceptibility"
"F0","stm32f038c6","table_48","4","7","Table 48. NPOR pin characteristics"
"F0","stm32f038c6","table_5","5","8","Table 5. Timer feature comparison"
"F0","stm32f038c6","table_52","5","6","Table 52. TS characteristics"
"F0","stm32f038c6","table_53","4","6","Table 53. V monitoring characteristics 73 BAT"
"F0","stm32f038c6","table_56","4","5","Table 56. WWDG min/max timeout value at 48 MHz (PCLK)"
"F0","stm32f038c6","table_57","1","5","Table 57. I2C analog filter characteristics"
"F0","stm32f042c4","table_22","4","6","Table 22. Operating conditions at power-up / power-down"
"F0","stm32f042c4","table_23","4","7","Table 23. Embedded reset and power control block characteristics"
"F0","stm32f042c4","table_25","5","7","Table 25. Embedded internal reference voltage"
"F0","stm32f042c4","table_29","2","13","Table 29. Typical and maximum current consumption from the V supply 54 BAT"
"F0","stm32f042c4","table_33","4","10","Table 33. Low-power mode wakeup timings"
"F0","stm32f042c4","table_34","5","6","Table 34. High-speed external user clock characteristics"
"F0","stm32f042c4","table_35","5","6","Table 35. Low-speed external user clock characteristics"
"F0","stm32f042c4","table_37","4","7","Table 37. LSE oscillator characteristics (f = 32.768 kHz) 63 LSE"
"F0","stm32f042c4","table_41","3","6","Table 41. LSI oscillator characteristics"
"F0","stm32f042c4","table_42","5","6","Table 42. PLL characteristics"
"F0","stm32f042c4","table_43","5","7","Table 43. Flash memory characteristics"
"F0","stm32f042c4","table_44","4","5","Table 44. Flash memory endurance and data retention"
"F0","stm32f042c4","table_46","4","6","Table 46. EMI characteristics"
"F0","stm32f042c4","table_47","2","7","Table 47. ESD absolute maximum ratings"
"F0","stm32f042c4","table_49","4","5","Table 49. I/O current injection susceptibility"
"F0","stm32f042c4","table_57","5","6","Table 57. TS characteristics"
"F0","stm32f042c4","table_58","4","6","Table 58. V monitoring characteristics 82 BAT"
"F0","stm32f042c4","table_6","6","6","Table 6. No. of capacitive sensing channels available on STM32F042x devices"
"F0","stm32f042c4","table_61","4","5","Table 61. WWDG min/max timeout value at 48 MHz (PCLK)"
"F0","stm32f042c4","table_62","1","5","Table 62. I2C analog filter characteristics"
"F0","stm32f042c4","table_65","5","7","Table 65. USB electrical characteristics"
"F0","stm32f042c4","table_7","5","8","Table 7. Timer feature comparison"
"F0","stm32f048c6","table_21","4","6","Table 21. Operating conditions at power-up / power-down"
"F0","stm32f048c6","table_22","6","7","Table 22. Embedded internal reference voltage"
"F0","stm32f048c6","table_25","2","14","Table 25. Typical and maximum consumption in Stop mode"
"F0","stm32f048c6","table_26","2","13","Table 26. Typical and maximum current consumption from the V supply 47 BAT"
"F0","stm32f048c6","table_30","2","6","Table 30. Low-power mode wakeup timings"
"F0","stm32f048c6","table_31","5","6","Table 31. High-speed external user clock characteristics"
"F0","stm32f048c6","table_32","5","6","Table 32. Low-speed external user clock characteristics"
"F0","stm32f048c6","table_34","4","7","Table 34. LSE oscillator characteristics (f = 32.768 kHz) 56 LSE"
"F0","stm32f048c6","table_38","3","6","Table 38. LSI oscillator characteristics"
"F0","stm32f048c6","table_39","5","6","Table 39. PLL characteristics"
"F0","stm32f048c6","table_40","5","7","Table 40. Flash memory characteristics"
"F0","stm32f048c6","table_41","4","5","Table 41. Flash memory endurance and data retention"
"F0","stm32f048c6","table_43","4","6","Table 43. EMI characteristics"
"F0","stm32f048c6","table_44","2","7","Table 44. ESD absolute maximum ratings"
"F0","stm32f048c6","table_46","4","5","Table 46. I/O current injection susceptibility"
"F0","stm32f048c6","table_51","4","7","Table 51. NPOR pin characteristics"
"F0","stm32f048c6","table_55","5","6","Table 55. TS characteristics"
"F0","stm32f048c6","table_56","4","6","Table 56. V monitoring characteristics 76 BAT"
"F0","stm32f048c6","table_59","4","5","Table 59. WWDG min/max timeout value at 48 MHz (PCLK)"
"F0","stm32f048c6","table_6","5","8","Table 6. Timer feature comparison"
"F0","stm32f048c6","table_60","1","5","Table 60. I2C analog filter characteristics"
"F0","stm32f048c6","table_63","5","7","Table 63. USB electrical characteristics"
"F0","stm32f051c4","table_21","4","6","Table 21. Operating conditions at power-up / power-down"
"F0","stm32f051c4","table_22","4","7","Table 22. Embedded reset and power control block characteristics"
"F0","stm32f051c4","table_24","5","7","Table 24. Embedded internal reference voltage"
"F0","stm32f051c4","table_28","2","13","Table 28. Typical and maximum current consumption from the V supply 53 BAT"
"F0","stm32f051c4","table_32","4","10","Table 32. Low-power mode wakeup timings"
"F0","stm32f051c4","table_33","5","6","Table 33. High-speed external user clock characteristics"
"F0","stm32f051c4","table_34","5","6","Table 34. Low-speed external user clock characteristics"
"F0","stm32f051c4","table_36","4","7","Table 36. LSE oscillator characteristics (f = 32.768 kHz) 62 LSE"
"F0","stm32f051c4","table_39","3","6","Table 39. LSI oscillator characteristics"
"F0","stm32f051c4","table_40","5","6","Table 40. PLL characteristics"
"F0","stm32f051c4","table_41","5","7","Table 41. Flash memory characteristics"
"F0","stm32f051c4","table_42","4","5","Table 42. Flash memory endurance and data retention"
"F0","stm32f051c4","table_44","4","6","Table 44. EMI characteristics"
"F0","stm32f051c4","table_45","2","7","Table 45. ESD absolute maximum ratings"
"F0","stm32f051c4","table_47","5","5","Table 47. I/O current injection susceptibility"
"F0","stm32f051c4","table_57","5","6","Table 57. TS characteristics"
"F0","stm32f051c4","table_58","4","6","Table 58. V monitoring characteristics 84 BAT"
"F0","stm32f051c4","table_61","4","5","Table 61. WWDG min/max timeout value at 48 MHz (PCLK)"
"F0","stm32f051c4","table_62","1","5","Table 62. I2C analog filter characteristics"
"F0","stm32f058c8","table_20","4","6","Table 20. Operating conditions at power-up / power-down"
"F0","stm32f058c8","table_21","6","7","Table 21. Embedded internal reference voltage"
"F0","stm32f058c8","table_24","2","14","Table 24. Typical and maximum consumption in Stop mode"
"F0","stm32f058c8","table_25","2","13","Table 25. Typical and maximum current consumption from the V supply 47 BAT"
"F0","stm32f058c8","table_29","2","6","Table 29. Low-power mode wakeup timings"
"F0","stm32f058c8","table_30","5","6","Table 30. High-speed external user clock characteristics"
"F0","stm32f058c8","table_31","5","6","Table 31. Low-speed external user clock characteristics"
"F0","stm32f058c8","table_33","4","7","Table 33. LSE oscillator characteristics (f = 32.768 kHz) 56 LSE"
"F0","stm32f058c8","table_36","3","6","Table 36. LSI oscillator characteristics"
"F0","stm32f058c8","table_37","5","6","Table 37. PLL characteristics"
"F0","stm32f058c8","table_38","5","7","Table 38. Flash memory characteristics"
"F0","stm32f058c8","table_39","4","5","Table 39. Flash memory endurance and data retention"
"F0","stm32f058c8","table_41","4","6","Table 41. EMI characteristics"
"F0","stm32f058c8","table_42","2","7","Table 42. ESD absolute maximum ratings"
"F0","stm32f058c8","table_44","3","5","Table 44. I/O current injection susceptibility"
"F0","stm32f058c8","table_49","4","7","Table 49. NPOR pin characteristics"
"F0","stm32f058c8","table_55","5","6","Table 55. TS characteristics"
"F0","stm32f058c8","table_56","4","6","Table 56. V monitoring characteristics 78 BAT"
"F0","stm32f058c8","table_59","4","5","Table 59. WWDG min/max timeout value at 48 MHz (PCLK)"
"F0","stm32f058c8","table_60","1","5","Table 60. I2C analog filter characteristics"
"F0","stm32f070c6","table_19","3","6","Table 19. General operating conditions"
"F0","stm32f070c6","table_20","4","6","Table 20. Operating conditions at power-up / power-down"
"F0","stm32f070c6","table_21","2","7","Table 21. Embedded reset and power control block characteristics"
"F0","stm32f070c6","table_22","5","7","Table 22. Embedded internal reference voltage"
"F0","stm32f070c6","table_24","5","7","Table 24. Typical and maximum current consumption from the V supply 42 DDA"
"F0","stm32f070c6","table_26","4","7","Table 26. Typical current consumption in Run mode, code with data processing run"
